IDP	GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
C32_12	MAGOH	1	53692564	53704282	22	6	33324	6.2735	1.7654e-10
C32_12	LRP8	1	53708036	53793821	173	26	33365	7.0456	9.2332e-13
C32_12	GRB14	2	165349323	165478360	198	30	33221	5.6854	6.5242e-09
C32_12	REST	4	57774042	57802010	78	14	33455	7.4527	4.5741e-14
C32_12	NOA1	4	57829516	57843826	43	10	33360	6.1563	3.7242e-10
C32_12	POLR2B	4	57844944	57897334	156	19	33479	5.5609	1.342e-08
C32_12	G3BP1	5	151151476	151184915	76	11	33456	5.2553	7.3908e-08
C32_12	GLRA1	5	151202074	151304397	212	13	33399	5.2776	6.5448e-08
C32_12	RELN	7	103112231	103629963	2051	98	33348	6.6667	1.3078e-11
C32_12	ORC5	7	103766788	103848495	242	18	33399	5.4755	2.1814e-08
C32_12	PLXNA4	7	131808091	132333447	1499	122	33354	5.7503	4.4545e-09
C32_12	ZFHX4	8	77593515	77779521	368	32	33431	7.7825	3.5553e-15
C32_12	PAPPA	9	118916071	119164600	409	66	33260	8.4833	1.0949e-17
C32_12	RAD51B	14	68286496	69149889	1949	88	33363	6.6187	1.8118e-11
C32_12	ZFP36L1	14	69254372	69263184	18	5	33343	7.7272	5.4956e-15
C32_13	EFNA1	1	155100349	155107386	10	3	33416	5.2462	7.7654e-08
C32_13	MTX1	1	155178490	155183625	7	3	33440	5.3244	5.0642e-08
C32_13	ARHGAP31	3	119013220	119138323	438	53	33372	5.3089	5.5142e-08
C32_13	ERVMER34-1	4	53609684	53617807	17	3	33396	5.2876	6.1957e-08
C32_13	RASL11B	4	53728495	53733002	11	3	33450	5.5201	1.6944e-08
C32_13	HHIP	4	145567148	145662542	176	14	33438	6.0024	9.7231e-10
C32_13	ENPP2	8	120569317	120685644	267	29	33342	5.4557	2.4394e-08
C32_13	PTCH1	9	98205264	98279247	155	17	33373	6.2595	1.9308e-10
C32_13	COL2A1	12	48366748	48398285	121	15	33330	5.5293	1.6079e-08
C32_13	DAAM1	14	59655329	59838123	560	29	33360	7.6219	1.2502e-14
C32_14	FAF1	1	50906935	51425936	721	30	33441	6.1254	4.5232e-10
C32_14	C1orf185	1	51442129	51613754	318	23	33432	7.5669	1.9107e-14
C32_14	RNF11	1	51701945	51739119	42	7	33396	7.419	5.9008e-14
C32_14	TTC39A	1	51752930	51810785	109	22	33390	6.9494	1.8338e-12
C32_14	CPT2	1	53662101	53679869	29	6	33408	6.5486	2.9043e-11
C32_14	C1orf123	1	53679771	53686289	10	2	33484	5.4196	2.9861e-08
C32_14	MAGOH	1	53692564	53704282	22	6	33322	6.2178	2.5209e-10
C32_14	LRP8	1	53708036	53793821	173	26	33363	7.5874	1.632e-14
C32_14	MOV10	1	113217048	113243368	53	9	33457	5.883	2.0147e-09
C32_14	PRKAR2A	3	48784017	48885270	74	13	33459	5.4781	2.1491e-08
C32_14	SLC25A20	3	48894356	48936426	36	7	33433	5.2845	6.3017e-08
C32_14	ARIH2	3	48956265	49022974	68	12	33450	5.3001	5.7854e-08
C32_14	P4HTM	3	49027304	49044582	12	3	33501	5.397	3.3881e-08
C32_14	QRICH1	3	49067140	49131504	62	12	33454	5.4592	2.3916e-08
C32_14	CCDC71	3	49199968	49203785	4	1	33466	5.7023	5.9108e-09
C32_14	C3orf84	3	49215069	49229291	21	5	33468	5.7234	5.2214e-09
C32_14	CCDC36	3	49235861	49295636	78	10	33483	5.6768	6.8616e-09
C32_14	REST	4	57774042	57802010	78	14	33453	5.8836	2.0074e-09
C32_14	NOA1	4	57829516	57843826	43	10	33358	5.4362	2.721e-08
C32_14	POLR2B	4	57844944	57897334	156	19	33477	6.1006	5.283e-10
C32_14	HHIP	4	145567148	145662542	176	14	33435	5.573	1.2522e-08
C32_14	SRP19	5	112196885	112228776	131	14	33455	5.8886	1.9471e-09
C32_14	REEP5	5	112212081	112258339	180	16	33432	5.8353	2.6846e-09
C32_14	MCC	5	112357796	112824527	1865	59	33393	8.0934	2.9011e-16
C32_14	BTN3A2	6	26365387	26378548	98	8	33491	5.442	2.6349e-08
C32_14	BTN2A1	6	26458132	26476849	61	12	33478	5.9708	1.1808e-09
C32_14	FAXC	6	99720793	99797594	262	21	33405	7.3099	1.3362e-13
C32_14	COQ3	6	99817279	99842082	75	10	33394	6.3926	8.1565e-11
C32_14	PNISR	6	99846534	99873263	54	9	33465	5.3284	4.9545e-08
C32_14	USP45	6	99880182	99963565	217	17	33277	7.0107	1.1856e-12
C32_14	TSTD3	6	99968870	99981061	35	8	33287	7.0174	1.1298e-12
C32_14	CCNC	6	99990263	100016849	71	10	33479	7.5503	2.1705e-14
C32_14	PRDM13	6	100054650	100063454	14	6	33144	5.9097	1.7134e-09
C32_14	RELN	7	103112231	103629963	2051	98	33346	11.169	2.8787000000000003e-29
C32_14	TOX	8	59717977	60031767	777	63	33314	5.5262	1.6365e-08
C32_14	ZFHX4	8	77593515	77779521	368	32	33429	5.9849	1.0829e-09
C32_14	NRIP3	11	9002123	9025596	64	9	33435	5.3574	4.221e-08
C32_14	CCDC53	12	102406717	102455902	104	16	33462	5.8685	2.1982e-09
C32_14	NUP37	12	102467967	102514025	101	16	33486	5.8811	2.0374e-09
C32_14	C16orf78	16	49407808	49433321	77	9	33395	5.4876	2.0369e-08
C32_14	SKOR2	18	44738460	44775554	91	12	33357	6.6354	1.6184e-11
C32_14	DSCAM	21	41384343	42219039	2989	193	33327	6.7784	6.0746e-12
C32_15	CD101	1	117544372	117579173	90	20	33362	5.9894	1.0529e-09
C32_15	NCK2	2	106361520	106510730	549	29	33353	5.9286	1.5279e-09
C32_15	KLF7	2	207938861	208031970	270	36	33273	5.4142	3.0781e-08
C32_15	PAX3	2	223064606	223163715	264	31	33312	5.5516	1.4155e-08
C32_15	ARL15	5	53180578	53606403	1326	82	33317	5.4309	2.8043e-08
C32_15	HLA-DRA	6	32407619	32412823	60	9	33536	5.4931	1.9752e-08
C32_15	RELN	7	103112231	103629963	2051	98	33349	6.7808	5.9749e-12
C32_15	PAPPA	9	118916071	119164600	409	66	33261	6.0033	9.6665e-10
C32_15	TMEM180	10	104221149	104239546	61	6	33472	5.34	4.6466e-08
C32_15	ACTR1A	10	104238986	104262580	71	4	33505	6.2635	1.8825e-10
C32_15	SUFU	10	104263719	104393214	292	13	33470	5.799	3.3348e-09
C32_15	CCDC53	12	102406717	102455902	104	16	33465	5.9512	1.3306e-09
C32_15	NUP37	12	102467967	102514025	101	16	33489	6.1297	4.4035e-10
C32_15	EXOC5	14	57669194	57735726	115	8	33415	5.7268	5.1169e-09
C32_15	IQCH	15	67547138	67794142	417	22	33452	5.5092	1.8028e-08
C32_15	MAP2K5	15	67835021	68099455	583	24	33428	8.0829	3.163e-16
C32_15	SKOR1	15	68112042	68126498	33	7	33426	5.4057	3.227e-08
C32_15	KATNAL2	18	44497565	44628614	372	23	33441	5.8219	2.9095e-09
C32_15	HDHD2	18	44633781	44676891	141	17	33468	6.3282	1.2399e-10
C32_15	SKOR2	18	44738460	44775554	91	12	33360	6.4014	7.6994e-11
C32_16	DMRT3	9	976968	991732	53	9	33302	5.3301	4.9071e-08
C32_16	SOX5	12	23682438	24715383	2845	220	33294	5.6871	6.4605e-09
C32_19	KIF6	6	39302876	39693181	1083	60	33364	5.7628	4.1366e-09
C32_2	MSL2	3	135867760	135915522	53	13	33302	5.3272	4.9877e-08
C32_2	STAG1	3	136055077	136471245	674	29	33458	5.7833	3.6632e-09
C32_2	BTN3A2	6	26365387	26378548	98	8	33494	5.6471	8.1568e-09
C32_2	BTN2A1	6	26458132	26476849	61	12	33481	5.5865	1.1584e-08
C32_2	SFTA2	6	30899127	30899952	9	3	33540	5.6078	1.0248e-08
C32_2	PRRC2A	6	31588450	31605554	63	15	33503	6.0157	8.9546e-10
C32_2	BAG6	6	31606805	31620953	41	12	33537	5.2617	7.137e-08
C32_2	MSH5	6	31707725	31730455	58	15	33509	5.7826	3.6772e-09
C32_2	STRN3	14	31362985	31495607	311	18	33397	5.3062	5.5978e-08
C32_22	BTN3A2	6	26365387	26378548	98	8	33494	5.7117	5.5912e-09
C32_22	BTN2A1	6	26458132	26476849	61	12	33481	5.6702	7.1308e-09
C32_22	HIST1H2BN	6	27805544	27821533	29	6	33479	5.2928	6.0228e-08
C32_22	HIST1H1B	6	27834570	27835359	5	3	33540	5.4488	2.536e-08
C32_22	LRCH1	13	47127296	47327176	530	30	33372	6.1579	3.6857e-10
C32_23	CDC42EP3	2	37869025	37899678	103	16	33220	5.8122	3.082e-09
C32_23	EPHA3	3	89156674	89531284	689	27	33355	7.0626	8.1736e-13
C32_23	CCDC91	12	28343360	28703099	909	18	33419	5.473	2.2126e-08
C32_23	LLGL1	17	18128907	18148189	43	6	33349	5.3016	5.7387e-08
C32_25	FAM53B	10	126307861	126432930	258	24	33326	5.884	2.0028e-09
C32_25	METTL10	10	126434336	126480439	87	12	33382	7.476	3.8303e-14
C32_25	FAM175B	10	126490354	126525239	54	10	33429	7.2796	1.6742e-13
C32_25	NAV3	12	78224685	78606790	1216	75	33363	5.708	5.7148e-09
C32_28	ASTN2	9	119187504	120177317	3022	146	33351	5.2479	7.694e-08
C32_28	DAAM1	14	59655329	59838123	560	29	33360	5.6224	9.4153e-09
C32_29	PKDCC	2	42275161	42285668	33	5	33349	5.7428	4.6566e-09
C32_29	GMNC	3	190570526	190610190	95	18	33314	6.0193	8.7575e-10
C32_29	DAAM1	14	59655329	59838123	560	29	33360	6.7854	5.7889e-12
C32_3	MAL2	8	120220610	120257913	78	15	33369	5.818	2.9771e-09
C32_3	CCDC91	12	28343360	28703099	909	18	33419	6.4866	4.389e-11
C32_3	MSRB3	12	65672423	65860687	269	21	33412	5.9434	1.3961e-09
C32_3	CDIP1	16	4560676	4588816	71	8	33395	5.4057	3.2274e-08
C32_3	DLG4	17	7093209	7123369	45	10	33363	5.2317	8.3983e-08
C32_3	UQCC1	20	33890369	33999945	174	10	33468	7.3655	8.8263e-14
C32_3	GDF5	20	34021149	34026027	11	3	33505	7.0013	1.2678e-12
C32_30	MTX1	1	155178490	155183625	7	3	33440	5.3283	4.9567e-08
C32_30	SSH2	17	27952956	28257231	400	17	33435	5.5074	1.8206e-08
C32_31	ZIC4	3	147103835	147124596	33	9	33403	7.7972	3.1641e-15
C32_31	ZIC1	3	147127181	147134506	10	6	33365	7.3808	7.8659e-14
C32_31	RUNX2	6	45296054	45518819	536	46	33414	5.2467	7.7423e-08
C32_31	DAAM1	14	59655329	59838123	560	29	33360	5.2301	8.4719e-08
C32_31	LRRC37A	17	44316744	44415160	82	5	33126	5.2517	7.5339e-08
C32_31	NSF	17	44668035	44834830	76	8	33379	5.2633	7.0746e-08
C32_31	WNT3	17	44839872	44896126	96	17	33357	5.391	3.5037e-08
C32_4	C1orf185	1	51442129	51613754	318	23	33435	7.1427	4.5769e-13
C32_4	RNF11	1	51701945	51739119	42	7	33399	7.6667	8.8263e-15
C32_4	TTC39A	1	51752930	51810785	109	22	33393	7.5748	1.7986e-14
C32_4	DISC1	1	231762561	232177018	1076	105	33310	6.2759	1.7381e-10
C32_4	KLF7	2	207938861	208031970	270	36	33273	6.1024	5.2233e-10
C32_4	EPHA3	3	89156674	89531284	689	27	33355	7.1825	3.4228e-13
C32_4	TMEM161B	5	87485450	87564665	120	18	33283	5.4765	2.1694e-08
C32_4	PLXNA4	7	131808091	132333447	1499	122	33355	6.7308	8.4372e-12
C32_4	PAPPA	9	118916071	119164600	409	66	33261	9.16	2.5940000000000002e-20
C32_4	FRMD4A	10	13685706	14372866	2622	202	33307	5.8108	3.1081e-09
C32_4	FADS1	11	61567097	61584529	24	3	33504	5.3235	5.0897e-08
C32_4	NTM	11	131240371	132206716	2836	218	33291	6.1241	4.5597e-10
C32_4	ZFP36L1	14	69254372	69263184	18	5	33344	5.2449	7.8189e-08
C32_4	SEMA6D	15	47476403	48066420	1658	60	33349	5.9842	1.0874e-09
C32_4	IQCH	15	67547138	67794142	417	22	33452	5.5885	1.1449e-08
C32_4	C15orf61	15	67813522	67819641	10	4	33303	7.8482	2.1094e-15
C32_4	MAP2K5	15	67835021	68099455	583	24	33428	8.4136	1.9879e-17
C32_4	SKOR1	15	68112042	68126498	33	7	33426	6.2337	2.2771e-10
C32_4	C16orf78	16	49407808	49433321	77	9	33398	7.4851	3.5749e-14
C32_4	PIAS2	18	44388900	44500130	265	13	33462	6.1928	2.9557e-10
C32_4	KATNAL2	18	44497565	44628614	372	23	33441	7.8324	2.3929e-15
C32_4	TCEB3B	18	44558943	44561988	17	5	33427	6.8343	4.1198e-12
C32_4	HDHD2	18	44633781	44676891	141	17	33468	7.1472	4.4292e-13
C32_4	IER3IP1	18	44681390	44702745	62	8	33495	5.7023	5.9085e-09
C32_4	SKOR2	18	44738460	44775554	91	12	33360	6.3952	8.0181e-11
C32_4	ANGPTL4	19	8429011	8439257	16	5	33431	5.3779	3.7684e-08
C32_5	GLIS1	1	53971904	54203748	571	37	33331	5.4938	1.9671e-08
C32_5	PARD3B	2	205410516	206484886	2543	129	33364	9.2182	1.5106e-20
C32_5	ARL15	5	53180578	53606403	1326	82	33317	6.0825	5.9169e-10
C32_5	SH2B2	7	101928405	101962178	68	19	33199	5.3187	5.2249e-08
C32_5	RELN	7	103112231	103629963	2051	98	33349	6.7999	5.2347e-12
C32_5	MMAB	12	109991520	110011358	78	11	33502	5.2472	7.7214e-08
C32_5	ALDH1A2	15	58245622	58358121	331	15	33331	6.4624	5.1517e-11
C32_5	CDH11	16	64916794	65160015	833	35	33446	6.8573	3.5098e-12
C32_6	HIVEP3	1	41972036	42501596	1317	55	33378	5.305	5.6322e-08
C32_6	C1orf185	1	51442129	51613754	318	23	33434	5.6844	6.5625e-09
C32_6	RNF11	1	51701945	51739119	42	7	33398	5.282	6.3877e-08
C32_6	TTC39A	1	51752930	51810785	109	22	33392	5.4457	2.5801e-08
C32_6	SLC44A5	1	75667816	76081698	1011	35	33368	5.3502	4.3919e-08
C32_6	PAX3	2	223064606	223163715	264	31	33311	7.2674	1.8324e-13
C32_6	FOXO3	6	108881026	109005972	179	21	33382	5.7621	4.1533e-09
C32_6	STK17A	7	43622692	43666978	129	11	33436	5.4894	2.0163e-08
C32_6	COA1	7	43648052	43769140	367	15	33482	5.3517	4.3556e-08
C32_6	ASTN2	9	119187504	120177317	3022	146	33350	5.5145	1.749e-08
C32_6	MSRB3	12	65672423	65860687	269	21	33411	5.6053	1.0397e-08
C32_6	CCDC53	12	102406717	102455902	104	16	33464	6.1094	5e-10
C32_6	NUP37	12	102467967	102514025	101	16	33488	7.6794	7.9936e-15
C32_6	PARPBP	12	102513956	102591298	154	15	33470	6.1877	3.0527e-10
C32_6	IGF1	12	102789645	102875563	152	22	33404	6.3748	9.1604e-11
C32_6	ZFP36L1	14	69254372	69263184	18	5	33343	5.9909	1.0436e-09
C32_6	SPECC1	17	19912649	20218072	682	20	33437	5.917	1.6394e-09
C32_6	NUMBL	19	41171810	41196556	74	15	33348	6.228	2.3628e-10
C32_6	RAB4B	19	41283670	41302849	65	12	33433	6.5097	3.7641e-11
C32_7	PRR23A	3	138722804	138725110	5	3	33421	5.2333	8.3264e-08
C32_7	DAAM1	14	59655329	59838123	560	29	33360	7.2579	1.9654e-13
C32_7	CRHR1	17	43697710	43913194	994	9	33459	5.466	2.3019e-08
C32_7	SPPL2C	17	43922256	43924438	17	2	33496	5.3878	3.5662e-08
C32_7	MAPT	17	43971702	44105700	709	5	33453	5.4974	1.9271e-08
C32_7	STH	17	44076616	44077060	1	1	33541	5.5169	1.7253e-08
C32_7	KANSL1	17	44107282	44302740	779	4	33346	5.5783	1.2145e-08
C32_7	LRRC37A	17	44316744	44415160	82	5	33126	5.5871	1.1544e-08
C32_7	NSF	17	44668035	44834830	76	8	33379	5.2664	6.9553e-08
C32_7	WNT3	17	44839872	44896126	96	17	33357	5.3841	3.6399e-08
C32_8	FAF1	1	50906935	51425936	721	30	33443	5.3154	5.3219e-08
C32_8	C1orf185	1	51442129	51613754	318	23	33434	6.6444	1.5221e-11
C32_8	RNF11	1	51701945	51739119	42	7	33398	6.5945	2.1333e-11
C32_8	TTC39A	1	51752930	51810785	109	22	33392	6.5365	3.1478e-11
C32_8	DNMT3A	2	25451421	25565459	189	38	33278	5.7775	3.7904e-09
C32_8	PARD3B	2	205410516	206484886	2543	129	33363	5.2277	8.5816e-08
C32_8	TUSC2	3	50362341	50365668	3	2	33325	5.614	9.8866e-09
C32_8	NPRL2	3	50384918	50388486	1	1	33118	6.1696	3.423e-10
C32_8	FGF18	5	170846667	170884630	85	16	33256	5.2863	6.2419e-08
C32_8	BLOC1S5	6	8013800	8064647	194	15	33398	5.6786	6.7892e-09
C32_8	EEF1E1	6	8073593	8102828	87	13	33373	6.1094	5e-10
C32_8	ARID1B	6	157098980	157531913	913	72	33342	6.3511	1.0689e-10
C32_8	PAPPA	9	118916071	119164600	409	66	33260	6.3835	8.6526e-11
C32_8	ASTN2	9	119187504	120177317	3022	146	33350	6.0063	9.4874e-10
C32_8	CCDC53	12	102406717	102455902	104	16	33464	5.9152	1.6574e-09
C32_8	NUP37	12	102467967	102514025	101	16	33488	5.8101	3.1215e-09
C32_8	UBE3B	12	109915215	109974510	128	15	33500	5.8524	2.4221e-09
C32_8	MMAB	12	109991520	110011358	78	11	33501	7.5025	3.1308e-14
C32_8	MVK	12	110011500	110035071	65	12	33474	6.9557	1.7539e-12
C32_8	CDH11	16	64916794	65160015	833	35	33445	6.0961	5.436e-10
C32_8	MACROD2	20	13976146	16033842	6109	309	33358	6.131	4.367e-10
C32_9	LACTBL1	1	23279536	23299524	49	12	33252	5.9635	1.2346e-09
C32_9	C1orf234	1	23337327	23342343	9	3	33345	5.8171	2.9939e-09
C32_9	KDM1A	1	23345937	23410184	77	10	33396	6.5632	2.6332e-11
C32_9	LUZP1	1	23410516	23504301	169	19	33444	5.5145	1.7489e-08
C32_9	ZNF436	1	23685941	23696357	26	5	33431	5.367	4.0018e-08
C32_9	MAP4K4	2	102314165	102511152	317	21	33436	5.8876	1.9591e-09
C32_9	KLF7	2	207938861	208031970	270	36	33262	7.0108	1.185e-12
C32_9	REST	4	57774042	57802010	78	14	33445	7.6147	1.3212e-14
C32_9	NOA1	4	57829516	57843826	43	10	33350	6.7388	7.9834e-12
C32_9	POLR2B	4	57844944	57897334	156	19	33469	7.0407	9.5635e-13
C32_9	PAPPA	9	118916071	119164600	409	66	33250	7.4201	5.8508e-14
C32_9	ASTN2	9	119187504	120177317	3022	146	33340	5.2659	6.9738e-08
C32_9	TRIM32	9	119360147	119463579	273	15	33439	5.8279	2.807e-09
C32_9	TMEM180	10	104221149	104239546	61	6	33461	6.2563	1.9708e-10
C32_9	ACTR1A	10	104238986	104262580	71	4	33494	6.3699	9.4595e-11
C32_9	SUFU	10	104263719	104393214	292	13	33459	6.1248	4.5408e-10
C32_9	DCDC1	11	31284171	31391357	153	14	33291	5.2454	7.7981e-08
C32_9	CCDC53	12	102406717	102455902	104	16	33454	7.4346	5.2458e-14
C32_9	NUP37	12	102467967	102514025	101	16	33478	7.339	1.0764e-13
C32_9	PARPBP	12	102513956	102591298	154	15	33460	6.8971	2.6535e-12
C32_9	IGF1	12	102789645	102875563	152	22	33394	5.8965	1.8566e-09
C32_9	RAD51B	14	68286496	69149889	1949	88	33353	6.7906	5.5834e-12
C32_9	NTN1	17	8924859	9147317	775	74	33328	5.6049	1.0416e-08
C32_9	CRHR1	17	43697710	43913194	994	9	33448	5.6204	9.5278e-09
C32_9	SPPL2C	17	43922256	43924438	17	2	33485	5.6289	9.0687e-09
C32_9	MAPT	17	43971702	44105700	709	5	33442	5.5538	1.3976e-08
C32_9	STH	17	44076616	44077060	1	1	33530	5.5604	1.3459e-08
C32_9	KANSL1	17	44107282	44302740	779	4	33335	5.4753	2.1843e-08
C32_9	LRRC37A	17	44316744	44415160	82	5	33115	5.7132	5.5431e-09
C32_9	NSF	17	44668035	44834830	76	8	33368	5.4496	2.5243e-08
C32_9	WNT3	17	44839872	44896126	96	17	33346	5.3122	5.4169e-08
C32_9	MACROD2	20	13976146	16033842	6109	309	33349	7.6519	9.9042e-15
C64_1	SPAST	2	32288660	32382706	218	17	33417	5.6774	6.8365e-09
C64_1	SLC30A6	2	32390910	32449181	125	13	33417	6.0605	6.7864e-10
C64_1	TMEM161B	5	87485450	87564665	120	18	33283	6.1565	3.7178e-10
C64_1	RUNX2	6	45296054	45518819	536	46	33414	5.4779	2.1518e-08
C64_1	ENO4	10	118608741	118642112	50	11	33353	5.7368	4.8251e-09
C64_1	KIAA1598	10	118642888	118886097	290	21	33284	5.5857	1.164e-08
C64_1	DSCAML1	11	117298489	117667976	1291	101	33323	7.5518	2.1461e-14
C64_1	KTN1	14	56046925	56151302	300	11	33440	7.0389	9.6871e-13
C64_1	CLN3	16	28488600	28505897	19	4	33391	5.3885	3.5531e-08
C64_1	APOBR	16	28505970	28510291	10	3	33378	5.4165	3.0387e-08
C64_1	SULT1A1	16	28616908	28634907	24	6	33231	5.4329	2.7728e-08
C64_1	ATXN2L	16	28834369	28848558	25	2	33486	5.602	1.0597e-08
C64_1	TUFM	16	28853732	28857729	7	2	33541	5.4781	2.1501e-08
C64_1	SH2B1	16	28872939	28885534	17	3	33434	5.8216	2.9146e-09
C64_1	ATP2A1	16	28889192	28915830	32	5	33278	5.6283	9.1012e-09
C64_1	AKAP10	17	19807765	19881169	111	10	33388	6.1958	2.8996e-10
C64_1	DCC	18	49866542	51062273	4579	110	33403	8.7636	9.4577e-19
C64_1	REM1	20	30063091	30072708	18	7	33300	5.6062	1.0341e-08
C64_1	HM13	20	30102213	30158178	110	7	33431	5.5347	1.5592e-08
C64_1	COX4I2	20	30225685	30232837	13	2	33155	6.84	3.959e-12
C64_1	BCL2L1	20	30252261	30311752	89	8	33309	7.4929	3.3695e-14
C64_1	TPX2	20	30326904	30389605	104	10	33466	6.1094	5e-10
C64_1	MYLK2	20	30407115	30422500	42	7	33467	7.7422	4.885e-15
C64_1	DUSP15	20	30435441	30458479	51	16	33323	6.1411	4.0988e-10
C64_10	C1orf43	1	154179183	154193273	19	5	33471	5.755	4.3309e-09
C64_10	UBAP2L	1	154192427	154243986	81	11	33456	5.842	2.5787e-09
C64_10	CENPW	6	126660660	126670548	12	4	33447	6.3948	8.04e-11
C64_10	C10orf32	10	104613967	104624718	25	7	33401	5.3828	3.6664e-08
C64_10	AS3MT	10	104629183	104661656	111	13	33449	5.7455	4.5829e-09
C64_10	NT5C2	10	104847774	104953063	242	19	33488	5.529	1.6101e-08
C64_11	CALCRL	2	188206690	188313021	245	22	33393	5.7483	4.5083e-09
C64_11	TFPI	2	188328957	188419219	189	28	33372	5.6553	7.7775e-09
C64_11	LRCH1	13	47127296	47327176	530	30	33372	5.7249	5.1733e-09
C64_12	RNF11	1	51701945	51739119	42	7	33398	6.0561	6.9715e-10
C64_12	TTC39A	1	51752930	51810785	109	22	33392	5.4744	2.1953e-08
C64_12	GRB14	2	165349323	165478360	198	30	33221	5.8199	2.9434e-09
C64_12	ZFHX4	8	77593515	77779521	368	32	33431	6.8849	2.892e-12
C64_12	PAPPA	9	118916071	119164600	409	66	33260	7.3479	1.0067e-13
C64_12	RAD51B	14	68286496	69149889	1949	88	33363	5.7061	5.7804e-09
C64_13	USP46	4	53457126	53525502	84	6	33397	5.3853	3.6169e-08
C64_13	ERVMER34-1	4	53609684	53617807	17	3	33396	5.7848	3.6289e-09
C64_13	RASL11B	4	53728495	53733002	11	3	33450	5.8815	2.0333e-09
C64_13	ENPP2	8	120569317	120685644	267	29	33342	5.5781	1.2156e-08
C64_13	PTCH1	9	98205264	98279247	155	17	33373	6.4437	5.8305e-11
C64_13	COL2A1	12	48366748	48398285	121	15	33330	5.643	8.3556e-09
C64_13	SENP1	12	48436681	48500091	168	17	33471	5.5199	1.6955e-08
C64_13	DAAM1	14	59655329	59838123	560	29	33360	7.2191	2.6168e-13
C64_14	C1orf185	1	51442129	51613754	318	23	33433	6.2476	2.0835e-10
C64_14	RNF11	1	51701945	51739119	42	7	33397	6.5118	3.7119e-11
C64_14	TTC39A	1	51752930	51810785	109	22	33391	6.0418	7.6209e-10
C64_14	CPT2	1	53662101	53679869	29	6	33409	5.8954	1.8684e-09
C64_14	LRP8	1	53708036	53793821	173	26	33364	7.5152	2.8422e-14
C64_14	MOV10	1	113217048	113243368	53	9	33458	5.6016	1.0619e-08
C64_14	AKT3	1	243651535	244014381	515	21	33419	5.5	1.8986e-08
C64_14	PRKAR2A	3	48784017	48885270	74	13	33460	5.5581	1.3635e-08
C64_14	P4HTM	3	49027304	49044582	12	3	33502	5.5157	1.7369e-08
C64_14	QRICH1	3	49067140	49131504	62	12	33455	5.5793	1.2075e-08
C64_14	C3orf84	3	49215069	49229291	21	5	33469	5.8692	2.1899e-09
C64_14	CCDC36	3	49235861	49295636	78	10	33484	5.6275	9.1423e-09
C64_14	REST	4	57774042	57802010	78	14	33454	5.6544	7.8183e-09
C64_14	POLR2B	4	57844944	57897334	156	19	33478	5.7992	3.3321e-09
C64_14	SRP19	5	112196885	112228776	131	14	33456	5.3789	3.7478e-08
C64_14	MCC	5	112357796	112824527	1865	59	33394	7.7947	3.227e-15
C64_14	BTN2A1	6	26458132	26476849	61	12	33479	5.7931	3.4559e-09
